loc,avg_line_len,cyclomatic,functions,danger_eval,danger_exec,danger_subprocess_shell,danger_broad_except,danger_mutable_default,danger_innerHTML,danger_document_write,danger_var_usage,label
356,30.796182967922718,0,0,1,0,0,0,0,0,0,1,1
38,32.619158830505604,20,20,0,1,1,1,0,0,0,0,1
263,80.54267915353128,0,0,0,0,0,0,0,1,0,0,1
236,108.8091021988493,0,0,1,0,0,0,0,0,0,1,1
378,29.508583927563087,0,0,1,0,0,0,0,0,1,1,1
83,88.68210354669768,0,0,1,0,0,0,0,0,0,0,1
226,29.656443256578562,12,25,0,0,1,1,1,0,0,0,1
348,32.22312853545593,0,0,0,0,0,0,0,1,0,0,1
312,51.244889908765394,0,0,0,0,0,0,0,1,1,0,1
341,68.21893962043886,4,11,0,0,0,1,0,0,0,0,1
292,117.45466021257081,0,0,0,0,0,0,0,1,1,1,1
97,47.32703887127248,10,10,0,0,0,0,1,0,0,0,1
40,34.187465415126866,0,0,0,0,0,0,0,0,1,0,1
219,65.36457906730173,0,0,0,0,0,0,0,0,0,1,0
31,35.55799034044884,20,1,0,0,0,1,0,0,0,0,1
315,64.20441866977791,0,0,0,0,0,0,0,0,1,0,1
225,31.088977220093057,0,0,1,0,0,0,0,1,1,1,1
117,59.526339608762896,20,1,0,0,0,0,0,0,0,0,1
153,52.81223559378411,0,0,0,0,0,0,0,0,1,1,1
71,58.02074457152362,8,16,0,0,0,1,0,0,0,0,1
14,65.9754250356275,0,0,0,0,0,0,0,0,1,1,1
368,84.01416690475789,0,0,0,0,0,0,0,0,0,0,0
92,100.13221543104521,0,0,1,0,0,0,0,1,0,0,1
59,44.33164748227337,0,0,1,0,0,0,0,1,0,1,1
386,53.95132811484639,0,0,0,0,0,0,0,0,0,0,0
183,55.10997349573605,5,7,0,0,0,0,0,0,0,0,0
394,95.91523800455705,3,5,1,1,1,1,0,0,0,0,1
326,51.61388944905802,0,0,1,0,0,0,0,0,0,1,1
145,79.14197568310209,0,0,0,0,0,0,0,1,0,1,1
236,23.760724557109207,0,0,0,0,0,0,0,0,0,0,0
241,78.03294074111906,0,0,0,0,0,0,0,0,1,0,1
314,67.56290279430695,0,0,0,0,0,0,0,0,0,0,0
370,28.432913202456383,0,0,0,0,0,0,0,0,0,1,0
273,72.27480352655456,0,0,0,0,0,0,0,0,0,1,0
214,97.44647885737355,0,0,0,0,0,0,0,1,1,1,1
173,29.450594751509435,13,9,0,0,0,0,1,0,0,0,1
184,51.02317375518121,13,4,0,0,1,0,1,0,0,0,1
70,87.01163999947225,0,0,0,0,0,0,0,1,1,1,1
14,56.25976689820444,0,0,0,0,0,0,0,0,0,1,0
120,119.99766211030285,5,2,0,0,1,1,1,0,0,0,1
343,53.676437196428154,20,4,1,0,0,0,1,0,0,0,1
374,63.767340513834675,14,11,0,1,1,0,1,0,0,0,1
124,73.40111496982611,0,0,0,0,0,0,0,0,0,1,0
241,96.9438551975576,0,0,1,0,0,0,0,1,1,1,1
107,100.12592241515476,5,8,0,1,0,1,0,0,0,0,1
150,28.38751253717901,6,8,1,0,0,0,0,0,0,0,1
183,113.04719271262749,0,0,1,0,0,0,0,0,0,1,1
202,119.45253512382912,12,7,0,0,0,1,1,0,0,0,1
79,33.75995877258717,0,0,0,0,0,0,0,0,1,0,1
234,81.53482571635485,0,0,0,0,0,0,0,0,0,0,0
285,114.02259493413179,20,16,1,0,0,0,0,0,0,0,1
29,43.843950345982265,20,14,0,0,0,1,1,0,0,0,1
328,71.53757302094061,8,22,0,0,0,0,1,0,0,0,1
128,77.06637160224288,0,0,0,0,0,0,0,1,1,0,1
39,115.3403677985515,0,0,0,0,0,0,0,0,0,0,0
196,45.36502610692128,0,0,0,0,0,0,0,0,0,1,0
380,85.71044000108314,4,24,0,0,0,0,1,0,0,0,1
334,37.50891270517084,0,0,1,0,0,0,0,1,0,0,1
37,91.60450575961946,15,1,0,0,0,0,0,0,0,0,1
163,71.53835892544987,0,0,1,0,0,0,0,0,0,0,1
187,106.21385304692504,0,0,0,0,0,0,0,1,0,1,1
193,63.69513831249364,13,23,1,1,0,0,0,0,0,0,1
193,112.43104666269636,0,0,0,0,0,0,0,0,1,1,1
225,80.24532988302272,6,17,0,0,0,0,0,0,0,0,0
161,64.59157630996526,0,0,1,0,0,0,0,0,1,1,1
233,24.235516285012952,0,0,0,0,0,0,0,1,0,1,1
43,87.11838888936678,13,11,0,0,0,1,1,0,0,0,1
22,32.62300243022543,0,0,0,0,0,0,0,1,0,1,1
295,23.238532397966697,0,0,0,0,0,0,0,1,0,1,1
232,96.30844717985795,0,0,0,0,0,0,0,1,0,1,1
337,47.868976629981134,0,0,0,0,0,0,0,0,1,0,1
270,58.698738003926344,0,0,0,0,0,0,0,0,0,1,0
318,48.5576877698158,16,6,0,0,0,0,0,0,0,0,1
49,101.05132183576319,0,0,0,0,0,0,0,1,0,0,1
158,105.13620507531259,0,0,0,0,0,0,0,0,1,0,1
107,99.20656736111408,8,25,1,0,0,1,1,0,0,0,1
244,100.36617262885865,0,0,0,0,0,0,0,1,0,0,1
208,119.95950439343869,0,0,1,0,0,0,0,1,0,1,1
69,117.2379731513766,3,14,1,0,0,1,1,0,0,0,1
398,116.62646139341068,14,16,0,0,1,0,0,0,0,0,1
87,52.266075115455564,8,11,0,0,0,0,1,0,0,0,1
69,82.50223614485904,0,0,0,0,0,0,0,1,1,0,1
92,85.87328733837543,20,10,0,0,0,0,1,0,0,0,1
338,41.080837970196455,0,0,1,0,0,0,0,1,1,0,1
326,74.55774835472675,0,0,0,0,0,0,0,0,0,1,0
237,27.297302550534578,0,0,0,0,0,0,0,0,0,1,0
242,40.40230135633987,0,0,0,0,0,0,0,0,1,1,1
209,33.07661515523865,0,0,0,0,0,0,0,1,1,0,1
128,66.64725670406364,0,0,0,0,0,0,0,0,0,0,0
30,49.02120049699015,13,19,1,0,0,0,1,0,0,0,1
102,96.31213751386285,0,0,1,0,0,0,0,1,0,1,1
259,22.3176298216351,0,0,1,0,0,0,0,1,0,0,1
303,55.289508885635534,2,9,1,1,0,1,0,0,0,0,1
225,33.393494399231464,9,23,0,1,0,0,0,0,0,0,1
296,76.18168651659437,12,17,0,0,0,1,0,0,0,0,1
324,88.03986401188608,0,0,0,0,0,0,0,0,0,1,0
178,75.78318382721287,0,0,0,0,0,0,0,0,0,1,0
28,23.891396624622022,11,25,1,1,0,1,1,0,0,0,1
172,113.13687355299899,11,5,1,0,1,0,1,0,0,0,1
367,76.29242606445445,0,0,1,0,0,0,0,0,0,1,1
218,78.37021418487863,1,19,1,0,1,1,1,0,0,0,1
374,25.135516512038762,16,5,1,0,1,0,0,0,0,0,1
102,21.893736750661258,11,13,0,1,1,0,0,0,0,0,1
381,92.74020989409185,0,0,0,0,0,0,0,1,0,1,1
274,57.68247761856958,0,0,0,0,0,0,0,0,1,1,1
351,97.19897841487408,0,0,0,0,0,0,0,1,0,0,1
147,75.80866508074041,8,9,0,0,1,1,0,0,0,0,1
250,54.88031742013066,0,0,0,0,0,0,0,0,0,1,0
181,115.46088633914613,0,0,0,0,0,0,0,0,0,1,0
182,112.40096318898804,9,23,1,0,0,1,0,0,0,0,1
75,30.922658157108,0,0,0,0,0,0,0,0,0,0,0
31,30.01979590453309,11,22,1,0,1,0,0,0,0,0,1
213,85.28927977012998,16,15,0,0,0,0,1,0,0,0,1
398,28.94607205115163,19,7,0,0,0,0,0,0,0,0,1
258,38.63116319224889,0,0,0,0,0,0,0,0,0,1,0
176,48.456165235004626,18,16,1,0,1,0,0,0,0,0,1
62,53.06840968317856,15,20,0,0,0,1,0,0,0,0,1
295,87.44011398947444,0,0,0,0,0,0,0,0,1,1,1
268,52.7926658740176,0,0,1,0,0,0,0,1,0,0,1
249,52.36016700850828,8,0,0,1,0,0,0,0,0,0,1
159,78.24607515549849,0,0,0,0,0,0,0,0,1,1,1
36,86.77861147986714,15,9,0,1,1,1,1,0,0,0,1
358,31.741574584477632,0,0,0,0,0,0,0,0,1,0,1
73,67.8181899735224,15,23,0,1,1,1,0,0,0,0,1
395,44.74654293085777,20,25,0,1,1,1,0,0,0,0,1
293,31.220879153727026,18,16,0,0,0,0,1,0,0,0,1
64,88.02952379390707,0,0,1,0,0,0,0,0,1,1,1
237,33.1944339821099,14,14,0,1,1,0,1,0,0,0,1
207,45.44572190676124,1,23,0,0,0,0,0,0,0,0,0
282,119.41236604769202,3,15,0,0,0,0,0,0,0,0,0
196,119.2856598580879,0,0,1,0,0,0,0,0,0,1,1
354,116.41443763806859,18,4,0,0,0,1,0,0,0,0,1
377,117.87243770263359,1,24,0,0,0,1,1,0,0,0,1
277,57.927646803379375,0,0,0,0,0,0,0,0,0,1,0
146,38.84804512367424,4,1,1,0,0,0,0,0,0,0,1
309,23.35762757542808,20,21,0,0,1,0,0,0,0,0,1
124,73.97598089074285,0,0,0,0,0,0,0,0,1,1,1
379,77.61103355802871,19,19,0,0,0,0,1,0,0,0,1
216,50.05009537574196,2,17,0,1,1,0,0,0,0,0,1
334,87.13425247457224,0,0,0,0,0,0,0,1,0,1,1
158,57.646018850713205,18,15,0,0,0,1,0,0,0,0,1
34,76.23859495869091,0,0,1,0,0,0,0,1,1,0,1
129,45.499564560753655,0,0,0,0,0,0,0,1,0,1,1
52,73.56355363472156,0,0,0,0,0,0,0,0,0,1,0
42,38.81632939327553,19,23,0,1,0,0,0,0,0,0,1
113,113.71597632022477,4,23,1,0,1,1,1,0,0,0,1
208,111.51264595935564,18,10,0,1,0,1,1,0,0,0,1
162,46.15616273853526,0,0,1,0,0,0,0,0,0,1,1
109,57.07049214312585,0,0,1,0,0,0,0,0,1,0,1
13,46.07741099097696,19,18,1,0,0,0,0,0,0,0,1
199,76.9789512704035,8,15,0,0,0,1,1,0,0,0,1
240,36.8233645951541,0,0,0,0,0,0,0,0,0,1,0
282,119.03235408798564,2,16,0,0,1,0,0,0,0,0,1
75,104.25447168253484,0,0,0,0,0,0,0,0,1,0,1
116,70.57329196930651,12,1,1,1,0,0,1,0,0,0,1
11,21.67261476026299,0,0,0,0,0,0,0,1,0,0,1
96,30.70164286944929,0,0,0,0,0,0,0,1,0,0,1
322,72.64559854002162,12,8,1,0,0,0,0,0,0,0,1
361,42.585725262742216,3,20,0,0,0,0,0,0,0,0,0
33,83.67480755556387,0,0,0,0,0,0,0,0,0,1,0
294,117.732922328979,0,0,0,0,0,0,0,1,0,0,1
359,108.75543070344935,16,8,0,0,1,0,1,0,0,0,1
96,112.87663612546592,11,0,0,0,1,0,0,0,0,0,1
88,76.39581996237649,0,0,1,0,0,0,0,1,1,1,1
391,93.9745170920719,0,0,0,0,0,0,0,1,1,1,1
55,63.70882528434991,3,10,1,0,0,1,0,0,0,0,1
256,42.813838985421654,0,0,1,0,0,0,0,0,0,1,1
400,81.86158902598879,8,22,0,0,0,0,0,0,0,0,0
383,58.96219753971564,12,3,0,0,0,0,0,0,0,0,1
57,33.25070044941994,0,0,0,0,0,0,0,0,0,1,0
18,28.96188419603875,18,2,0,1,0,0,0,0,0,0,1
48,92.48438440347913,0,0,0,0,0,0,0,1,1,0,1
91,33.88400589594168,0,0,0,0,0,0,0,0,0,0,0
90,63.46762692627449,14,9,1,0,0,0,0,0,0,0,1
309,81.66687920357899,0,0,1,0,0,0,0,0,0,1,1
207,53.22172153116269,20,12,0,1,0,0,1,0,0,0,1
158,52.066515537508764,7,15,0,0,0,0,0,0,0,0,0
299,98.19743696035765,0,0,0,0,0,0,0,0,0,1,0
63,113.20671525884457,0,0,0,0,0,0,0,1,1,0,1
377,66.16222228331485,7,14,0,0,0,1,0,0,0,0,1
329,50.2832642510691,9,21,0,1,0,0,0,0,0,0,1
303,60.080509732937365,0,0,1,0,0,0,0,1,0,1,1
60,96.89540479200406,12,5,0,1,0,0,0,0,0,0,1
55,45.873837040365544,17,23,0,1,0,0,0,0,0,0,1
181,119.77027254146535,16,3,0,1,0,0,1,0,0,0,1
183,51.18903438975414,15,25,0,1,0,0,0,0,0,0,1
374,89.6763265523666,0,0,0,0,0,0,0,0,0,0,0
16,104.91800080469098,4,21,0,0,1,0,1,0,0,0,1
174,75.9848952489863,15,7,1,0,0,1,1,0,0,0,1
207,22.91922743423906,0,0,0,0,0,0,0,0,1,1,1
7,90.47356159597345,0,0,0,0,0,0,0,0,1,0,1
279,38.69598356320934,11,6,1,0,0,1,0,0,0,0,1
310,58.86392609127493,0,0,1,0,0,0,0,1,0,1,1
239,81.7362679336425,0,0,0,0,0,0,0,1,1,0,1
165,31.78616526616567,10,3,0,0,1,0,1,0,0,0,1
219,79.64258174439317,0,0,1,0,0,0,0,0,0,1,1
289,36.68655238273891,10,4,0,0,0,1,0,0,0,0,1
9,68.46089194456839,0,0,0,0,0,0,0,0,1,1,1
355,69.17258800240637,0,0,1,0,0,0,0,0,0,0,1
394,42.05295062965893,2,8,0,0,0,0,1,0,0,0,1
286,71.08059802145584,0,0,0,0,0,0,0,0,1,1,1
394,91.89802411300434,18,6,1,0,1,1,0,0,0,0,1
21,64.97323428304136,0,0,0,0,0,0,0,0,0,0,0
112,101.07027168394102,19,22,0,1,0,1,0,0,0,0,1
110,100.54404933702783,19,11,0,0,0,1,0,0,0,0,1
298,46.73430662780801,0,0,0,0,0,0,0,0,0,0,0
340,32.68881686138103,0,0,0,0,0,0,0,0,0,1,0
394,104.35556566434693,13,15,0,0,1,0,0,0,0,0,1
43,83.36277633502976,0,0,0,0,0,0,0,0,1,1,1
237,115.02540788653826,0,0,0,0,0,0,0,1,0,0,1
330,86.41438208318425,0,0,0,0,0,0,0,0,1,1,1
224,102.48476476360221,16,8,0,0,0,1,1,0,0,0,1
294,105.24225762884163,11,21,0,0,0,1,0,0,0,0,1
68,112.94328753475219,6,14,1,0,0,0,1,0,0,0,1
337,50.186550437642225,9,2,0,0,0,0,1,0,0,0,1
31,59.63415669322332,10,23,0,1,1,0,1,0,0,0,1
5,41.34211769462131,3,4,0,1,0,0,1,0,0,0,1
66,118.8154909464272,0,0,1,0,0,0,0,1,0,1,1
122,58.30699256757727,4,3,0,0,0,0,0,0,0,0,0
333,119.2940155246385,5,2,0,0,0,0,1,0,0,0,1
326,94.8268836374388,14,19,1,0,0,0,0,0,0,0,1
306,93.00091488959782,12,13,0,0,0,0,1,0,0,0,1
132,75.33966317847302,20,23,0,0,1,0,0,0,0,0,1
387,59.175101589815355,2,25,0,1,0,0,0,0,0,0,1
331,79.39297681377232,0,0,0,0,0,0,0,0,0,0,0
296,62.086353425243836,0,0,0,0,0,0,0,0,0,0,0
12,46.21852771620671,2,1,1,0,1,1,1,0,0,0,1
221,90.18106386235164,0,0,0,0,0,0,0,1,1,0,1
47,50.99068856166419,0,0,0,0,0,0,0,0,1,1,1
305,83.42942473532567,0,0,0,0,0,0,0,0,1,1,1
34,44.44797537193655,14,3,1,0,0,1,1,0,0,0,1
66,21.26649715594992,5,22,0,0,0,0,1,0,0,0,1
90,57.18694308916524,0,0,0,0,0,0,0,1,0,0,1
224,47.19805950213538,0,0,0,0,0,0,0,0,1,0,1
238,71.0781879425972,0,0,0,0,0,0,0,0,1,0,1
85,45.51160810390781,0,0,0,0,0,0,0,1,1,0,1
384,70.88248849106469,2,0,0,0,0,0,0,0,0,0,0
96,113.11600771571855,2,17,1,0,0,0,0,0,0,0,1
143,102.59969955525328,0,0,0,0,0,0,0,0,1,0,1
119,100.43380194587567,2,12,0,1,0,0,0,0,0,0,1
288,65.67461759445754,12,6,0,0,1,1,0,0,0,0,1
193,79.16909349848162,0,0,1,0,0,0,0,0,1,0,1
8,113.23975325378485,1,7,0,0,0,0,1,0,0,0,1
382,92.72150390409725,0,0,0,0,0,0,0,0,1,0,1
256,116.11850608877471,0,0,0,0,0,0,0,1,0,0,1
123,109.72874719314592,17,13,0,1,1,0,1,0,0,0,1
263,33.351385025095695,13,2,0,1,1,0,0,0,0,0,1
138,105.09137057886191,0,0,1,0,0,0,0,1,1,1,1
236,47.195587183245436,0,0,0,0,0,0,0,0,0,0,0
59,36.43749806997682,15,10,1,0,1,0,0,0,0,0,1
162,66.3346595056414,0,0,0,0,0,0,0,0,0,1,0
115,103.59247509879863,11,4,0,0,0,0,1,0,0,0,1
351,49.884071096902176,6,0,1,1,1,1,1,0,0,0,1
53,66.2043248876239,5,3,0,0,0,0,0,0,0,0,0
195,88.62852620355602,0,0,0,0,0,0,0,1,1,1,1
16,119.71614261304738,7,20,1,0,0,0,0,0,0,0,1
241,25.063770091525612,19,13,1,1,0,0,1,0,0,0,1
93,55.394325267312,0,0,0,0,0,0,0,0,0,1,0
22,81.41065777776878,20,7,0,1,0,1,0,0,0,0,1
49,47.97759874389713,5,13,0,0,1,1,0,0,0,0,1
370,55.911210983756504,0,0,1,0,0,0,0,0,1,1,1
143,37.98158736978692,0,0,0,0,0,0,0,1,0,0,1
34,100.86538835729012,0,0,1,0,0,0,0,1,0,0,1
56,44.78570540015728,8,8,0,0,1,0,0,0,0,0,1
95,43.65511327424609,11,25,0,0,1,1,0,0,0,0,1
293,114.83685060458903,16,17,0,0,0,0,0,0,0,0,1
124,80.16627864450882,1,16,1,0,0,1,0,0,0,0,1
179,91.69376326908161,11,1,0,0,1,1,0,0,0,0,1
274,106.06694665915508,3,11,1,0,0,0,0,0,0,0,1
85,93.23520254246408,14,25,1,0,0,1,1,0,0,0,1
119,86.55316694747667,0,0,0,0,0,0,0,0,0,1,0
95,92.8830955935999,19,12,0,0,1,0,1,0,0,0,1
332,76.55502461203204,16,4,0,0,0,0,0,0,0,0,1
330,108.53202533951374,3,22,0,1,0,0,0,0,0,0,1
359,26.77947800642338,9,25,0,0,0,0,0,0,0,0,0
90,108.45519975872274,0,0,1,0,0,0,0,0,0,1,1
250,98.87299944762194,19,20,0,0,0,0,0,0,0,0,1
15,51.87169079566576,0,0,0,0,0,0,0,0,0,0,0
87,93.1985085271317,0,0,0,0,0,0,0,0,1,1,1
225,114.24422581019638,6,19,1,0,0,0,0,0,0,0,1
102,60.92798657506458,18,23,0,0,0,0,0,0,0,0,1
